Start date,value
2020-12-21,1410451.4642857143
2020-12-28,1218067.9642857143
2021-01-04,1234580.9642857143
2021-01-11,1464598.9642857143
2021-01-18,1539420.392857143
2021-01-25,1514479.392857143
2021-02-01,1514935.607142857
2021-02-08,1513231.8214285714
2021-02-15,1570225.9285714286
2021-02-22,1455207.357142857
2021-03-01,1414141.892857143
2021-03-08,1437836.0
2021-03-15,1493252.3214285714
2021-03-22,1460073.7142857143
2021-03-29,1405785.857142857
2021-04-05,1264818.5357142857
2021-04-12,1429679.4285714286
2021-04-19,1411131.2857142857
2021-04-26,1354460.5357142857
2021-05-03,1331549.5
2021-05-10,1381890.2857142857
2021-05-17,1249624.107142857
2021-05-24,1287299.607142857
2021-05-31,1306753.75
2021-06-07,1257131.6785714286
2021-06-14,1310389.642857143
2021-06-21,1358808.4642857143
2021-06-28,1309647.107142857
2021-07-05,1321732.857142857
2021-07-12,1322089.3214285714
2021-07-19,1319084.4285714286
2021-07-26,1297798.7857142857
2021-08-02,1285826.4285714286
2021-08-09,1249108.9285714286
2021-08-16,1262251.5357142857
2021-08-23,1284865.0357142857
2021-08-30,1295041.357142857
2021-09-06,1288505.7857142857
2021-09-13,1295573.5714285714
2021-09-20,1312590.4285714286
2021-09-27,1334867.357142857
2021-10-04,1358687.392857143
2021-10-11,1354598.142857143
2021-10-18,1413185.3214285714
2021-10-25,1439316.75
2021-11-01,1406232.7857142857
2021-11-08,1446589.0357142857
2021-11-15,1434872.142857143
2021-11-22,1459040.0714285714
2021-11-29,1504128.0714285714
2021-12-06,1568685.8214285714
2021-12-13,1530716.3214285714
2021-12-20,1484253.2142857143
2021-12-27,1340995.0
2022-01-03,1257998.3214285714
2022-01-10,1469357.75
2022-01-17,1533232.9285714286
2022-01-24,1533825.4285714286
2022-01-31,1548466.142857143
2022-02-07,1540373.142857143
2022-02-14,1515345.4285714286
2022-02-21,1509006.357142857
2022-02-28,1480689.2142857143
2022-03-07,1450359.642857143
2022-03-14,1429646.25
2022-03-21,1416765.107142857
2022-03-28,1348354.9642857143
2022-04-04,1438409.892857143
2022-04-11,1431656.2142857143
2022-04-18,1213780.892857143
2022-04-25,1322601.5
2022-05-02,1296536.75
2022-05-09,1298108.8214285714
2022-05-16,1319557.6785714286
2022-05-23,1315308.642857143
2022-05-30,1231624.392857143
2022-06-06,1212896.607142857
2022-06-13,1256853.2857142857
2022-06-20,1224156.9642857143
2022-06-27,1262909.892857143
2022-07-04,1259492.4285714286
2022-07-11,1266037.0
2022-07-18,1243422.5
2022-07-25,1251983.357142857
2022-08-01,1209994.392857143
2022-08-08,1207782.7142857143
2022-08-15,1195460.75
2022-08-22,1194254.8214285714
2022-08-29,1209107.4285714286
2022-09-05,1225281.0714285714
2022-09-12,1231857.2142857143
2022-09-19,1264660.892857143
2022-09-26,1229159.392857143
2022-10-03,1229349.25
2022-10-10,1268983.357142857
2022-10-17,1256292.6785714286
2022-10-24,1268055.0357142857
2022-10-31,1234078.5357142857
2022-11-07,1282539.7857142857
2022-11-14,1311070.8214285714
2022-11-21,1334786.9285714286
2022-11-28,1345945.9642857143
2022-12-05,1376830.857142857
2022-12-12,1392830.357142857
2022-12-19,1444018.392857143
2022-12-26,1207743.6785714286
2023-01-02,1149644.357142857
2023-01-09,1281304.607142857
2023-01-16,1399406.5357142857
2023-01-23,1406330.1785714286
2023-01-30,1403789.7857142857
2023-02-06,1397473.607142857
2023-02-13,1385290.7142857143
2023-02-20,1339929.25
2023-02-27,1338214.0714285714
2023-03-06,1339839.357142857
2023-03-13,1339776.0714285714
2023-03-20,1299521.8214285714
2023-03-27,1281081.857142857
2023-04-03,1298202.6785714286
2023-04-10,1145045.7142857143
2023-04-17,1232122.892857143
2023-04-24,1228442.1785714286
2023-05-01,1181803.3214285714
2023-05-08,1222734.607142857
2023-05-15,1218335.0357142857
2023-05-22,1139251.4285714286
2023-05-29,1121784.5357142857
2023-06-05,1153414.0
